ds,yhat,yhat_lower,yhat_upper
2010-02-05,16210.37363363798,-11952.279052713691,43639.3737740634
2010-02-12,16574.748079969744,-14270.286343747883,46654.4293478626
2010-02-19,16195.86497289352,-12466.474580812062,45579.156803770544
2010-02-26,15732.38257802838,-10587.075202959724,44475.10870590576
2010-03-05,15558.845219054852,-13431.911858023926,45094.611090225124
2010-03-12,15563.204299839137,-13391.779237658786,42921.65625771885
2010-03-19,15554.493325117739,-12526.69665007295,44415.82882561347
2010-03-26,15571.14357541698,-12671.205445639065,44924.39795869942
2010-04-02,15746.787186132551,-12378.138213027372,45373.75486654418
2010-04-09,15996.248957864402,-12161.619667233403,45496.581056586416
2010-04-16,16030.463829669743,-13784.656612261311,47167.33642930335
2010-04-23,15736.514892647108,-13649.151432838764,46624.16328503486
2010-04-30,15376.404246900718,-14143.327821120676,43790.04820374044
2010-05-07,15340.378327243003,-13873.10651079428,43633.88113112669
2010-05-14,15708.712179361988,-14541.866380550471,44991.23290088136
2010-05-21,16179.99178353181,-14036.681481148753,44034.82505273861
2010-05-28,16413.211122477464,-11931.605918353569,44533.83994014963
2010-06-04,16387.24514622586,-11392.518577212953,45970.152850613136
2010-06-11,16340.435731256868,-12445.849970753698,45137.53072259642
2010-06-18,16415.376324060853,-11323.729435998064,46418.31340135379
2010-06-25,16492.57350296709,-11241.502424236347,44775.050432094875
2010-07-02,16373.105596512709,-11634.574737032703,41540.930177955735
2010-07-09,16060.378718448414,-12236.219466021914,49939.496401240285
2010-07-16,15757.568921036214,-13772.650676232182,46391.083236117585
2010-07-23,15633.071540614383,-12239.2805688975,45413.36878503844
2010-07-30,15665.904049571312,-15373.5348469801,43796.843384711894
2010-08-06,15759.748458906888,-11359.024750343417,46639.72503933716
2010-08-13,15894.258134294707,-13803.779575787037,43534.8742518147
2010-08-20,16067.600929486507,-14269.733539534147,45105.608031682816
2010-08-27,16140.731689313234,-10993.766867474604,45455.5924065666
2010-09-03,15885.142241235328,-13049.140986699576,45614.66864429631
2010-09-10,15278.371664576209,-12633.659006869291,44234.68401162286
2010-09-17,14665.914017368275,-13902.092649858729,43830.35505789748
2010-09-24,14486.186951996324,-12977.732329956993,42869.584402743545
2010-10-01,14796.611683332261,-14796.227336096777,43733.16841496784
2010-10-08,15181.329941016884,-14101.925651108178,42959.22386004191
2010-10-15,15215.402168441044,-13381.511961124077,41868.178561878754
2010-10-22,14980.622235269962,-16965.46572142007,42456.96975973929
2010-10-29,14991.70927376069,-14772.02921142973,43940.53597470289
2010-11-05,15603.754525813278,-13713.32801188994,43778.50962186694
2010-11-12,16597.493450251208,-12850.444235381146,43801.423996227364
